author,git-repo,name,description,license,type
JWDebler,https://github.com/JWDebler/2018-10-15-annotations,JWDebler/2018-10-15-annotations,Annotation scripts for several ascochyta isolates,,NF
JWDebler,https://github.com/JWDebler/nf-assembly,JWDebler/nf-assembly,Assembly and basic annotation of Illumina short reads,,NF
JWDebler,https://github.com/JWDebler/nf-augustus_with_RNASeq,JWDebler/nf-augustus_with_RNASeq,,,NF
JWDebler,https://github.com/JWDebler/nf-busco,JWDebler/nf-busco,,,NF
JWDebler,https://github.com/JWDebler/nf-genomeCoverage,JWDebler/nf-genomeCoverage,,,NF
JWDebler,https://github.com/JWDebler/nf-occultercut,JWDebler/nf-occultercut,compare and plot GC content of genomes,,NF
JWDebler,https://github.com/JWDebler/nf-repeats,JWDebler/nf-repeats,annotate repeats,,NF
kerimoff,https://github.com/kerimoff/qtlquant,kerimoff/qtlquant,pipeline repo for qtlquant,MIT,NF
KevinMenden,https://github.com/KevinMenden/hybrid-assembly,KevinMenden/hybrid-assembly,Pipeline for hybrid assembly using short and long reads.,MIT,NF
KevinMenden,https://github.com/KevinMenden/nf-cageseq,KevinMenden/nf-cageseq,Nextflow CAGE-seq pipeline,MIT,NF
KevinMenden,https://github.com/KevinMenden/tf-activity,KevinMenden/tf-activity,Workflow to identify active transcription factors from CAGE-seq data.,MIT,NF
KevinSayers,https://github.com/KevinSayers/nodewf,KevinSayers/nodewf,,,NF
KevinSayers,https://github.com/KevinSayers/SingularityScheduler,KevinSayers/SingularityScheduler,,,NF
kingzhuky,https://github.com/kingzhuky/m6APipe,kingzhuky/m6APipe,,LGPL-3.0,NF
komparo,https://github.com/komparo/tde_dataset_dyntoy,komparo/tde_dataset_dyntoy,,,NF
kratikanaskulwar,https://github.com/kratikanaskulwar/kmerextraction,kratikanaskulwar/kmerextraction,This pipeline extracts sequences of all the listed genes of E-coli and extracts the k-mers from the sequences.,,NF
Krebsro,https://github.com/Krebsro/nf-core-neointrons,Krebsro/nf-core-neointrons,This pipeline analyses rna data  deeloped for OvCa and HCC samples,MIT,NF
kviljoen,https://github.com/kviljoen/16S_quick_QC,kviljoen/16S_quick_QC,Just a quick QC test running fastqc and multiqc,,NF
lakinsm,https://github.com/lakinsm/bear-wgs,lakinsm/bear-wgs,USDA ARS BEARRU Whole Genome Sequencing Workflow,,NF
lakinsm,https://github.com/lakinsm/summit-assembly,lakinsm/summit-assembly,Assembly pipeline for the Boulder Summit HPC cluster,,NF
LBMC,https://github.com/LBMC/readthroughpombe,LBMC/readthroughpombe,Readthrough analysis in S. Pombe rrp6D and cut14-208 mutants,NOASSERTION,NF
lch14forever,https://github.com/lch14forever/nexflow_pipelines,lch14forever/nexflow_pipelines,,,NF
lehtiolab,https://github.com/lehtiolab/galaxy-workflows,lehtiolab/galaxy-workflows,LehtiÃ¶ lab analysis workflows,MIT,NF
lengfei5,https://github.com/lengfei5/smallRNA_nf,lengfei5/smallRNA_nf,,,NF
Leon-Bichmann,https://github.com/Leon-Bichmann/MHCquant,Leon-Bichmann/MHCquant,Identify and quantify peptides from mass spectrometry raw data,MIT,NF
LieberInstitute,https://github.com/LieberInstitute/test_next,LieberInstitute/test_next,Testing nextflow at JHPCE,,NF
lifebit-ai,https://github.com/lifebit-ai/DeepVariant,lifebit-ai/DeepVariant,Deep Variant as a Nextflow pipeline,Apache-2.0,NF
lifebit-ai,https://github.com/lifebit-ai/DeepVariantTrain,lifebit-ai/DeepVariantTrain,,Apache-2.0,NF
lifebit-ai,https://github.com/lifebit-ai/DeepVariantWGS,lifebit-ai/DeepVariantWGS,,Apache-2.0,NF
lifebit-ai,https://github.com/lifebit-ai/docker-impute2,lifebit-ai/docker-impute2,,,NF
lifebit-ai,https://github.com/lifebit-ai/ExpansionHunter,lifebit-ai/ExpansionHunter,,MIT,NF
lifebit-ai,https://github.com/lifebit-ai/fam-gwas,lifebit-ai/fam-gwas,Family-based GWAS analysis pipeline,,NF
lifebit-ai,https://github.com/lifebit-ai/freebayes,lifebit-ai/freebayes,,Apache-2.0,NF
lifebit-ai,https://github.com/lifebit-ai/GangSTR,lifebit-ai/GangSTR,,MIT,NF
lifebit-ai,https://github.com/lifebit-ai/HipSTR,lifebit-ai/HipSTR,,MIT,NF
lifebit-ai,https://github.com/lifebit-ai/impute500k,lifebit-ai/impute500k,,,NF
lifebit-ai,https://github.com/lifebit-ai/imputeAncestry,lifebit-ai/imputeAncestry,Imputation pipeline including ancestry module,,NF
lifebit-ai,https://github.com/lifebit-ai/kallisto-sra,lifebit-ai/kallisto-sra,,,NF
lifebit-ai,https://github.com/lifebit-ai/phewas,lifebit-ai/phewas,Performs a PheWAS analysis & generates a Manhattan plot using the PheWAS R package,,NF
lifebit-ai,https://github.com/lifebit-ai/Plant-RNASeq,lifebit-ai/Plant-RNASeq,Nextflow pipeline to analyse gene expression in plants,MIT,NF
lifebit-ai,https://github.com/lifebit-ai/roary,lifebit-ai/roary,Pan-genome nextflow pipeline which uses fasta input files for Prokka and Roary before generating visualisations,MIT,NF
lifebit-ai,https://github.com/lifebit-ai/somatic-variant-caller,lifebit-ai/somatic-variant-caller,Somatic variant calling pipeline using Mutect2 adapted from GATK Best Practices,,NF
lifebit-ai,https://github.com/lifebit-ai/star-nf,lifebit-ai/star-nf,,,NF
lifebit-ai,https://github.com/lifebit-ai/strelka2,lifebit-ai/strelka2,,Apache-2.0,NF
lifebit-ai,https://github.com/lifebit-ai/Tardis,lifebit-ai/Tardis,Tool for automated and rapid discovery of structural variants,,NF
likelet,https://github.com/likelet/circPipe,likelet/circPipe,FTW,MIT,NF
likelet,https://github.com/likelet/ExomePipe,likelet/ExomePipe,,GPL-3.0,NF
likelet,https://github.com/likelet/multiexseq,likelet/multiexseq,,MIT,NF
lillamy2012,https://github.com/lillamy2012/atac4Mike,lillamy2012/atac4Mike,ATAC-seq pipeline for Mikes project ,,NF
lillamy2012,https://github.com/lillamy2012/fastq_kallisto_star,lillamy2012/fastq_kallisto_star,,,NF
lillamy2012,https://github.com/lillamy2012/rna_seq_kallisto1,lillamy2012/rna_seq_kallisto1,nextflow pipeline for single read rna-seq,,NF
lisemangiante,https://github.com/lisemangiante/test_nextflow,lisemangiante/test_nextflow,,GPL-3.0,NF
lmyiing,https://github.com/lmyiing/scnew,lmyiing/scnew,update config file,,NF
lmyiing,https://github.com/lmyiing/scrnaseq,lmyiing/scrnaseq,first release nextflow,,NF
lucacozzuto,https://github.com/lucacozzuto/NF_test_case,lucacozzuto/NF_test_case,nextflow test pipeline,,NF
marcodelapierre,https://github.com/marcodelapierre/md-nextflow,marcodelapierre/md-nextflow,Sample Nextflow pipeline(s),GPL-3.0,NF
marler8997,https://github.com/marler8997/LanguageThoughts,marler8997/LanguageThoughts,A repository to document my thoughts and ideas for programming languages.,,NF
matthiasheinig,https://github.com/matthiasheinig/scworkflows,matthiasheinig/scworkflows,,,NF
maxemil,https://github.com/maxemil/PhyloMagnet,maxemil/PhyloMagnet,screening metagenomes for arbitrary lineages  using gene-centric assembly methods and phylogenetics,NOASSERTION,NF
maxibor,https://github.com/maxibor/admapipe,maxibor/admapipe,Ancient Dna Metagenomics Analysis PIPEline,MIT,NF
maxibor,https://github.com/maxibor/coproID,maxibor/coproID,Coprolite host Identification,GPL-3.0,NF
MaxUlysse,https://github.com/MaxUlysse/compile-latex,MaxUlysse/compile-latex,Simple beamer/latex compiler using Nextflow  provided with Docker container,MIT,NF
mchimenti,https://github.com/mchimenti/ATAC_seq_nextflow,mchimenti/ATAC_seq_nextflow,A bare bones ATAC_seq pipeline using NGmerge/Genrich from Harvard FAS best practices ,,NF
mclaugsf,https://github.com/mclaugsf/seqtk-nextflow,mclaugsf/seqtk-nextflow,A simple seqtk nextflow AWS Batch test workflow,,NF
melnel000,https://github.com/melnel000/Sarek_CBIO,melnel000/Sarek_CBIO,,MIT,NF
MenheraMikumo,https://github.com/MenheraMikumo/Mao,MenheraMikumo/Mao,Nextflow pipeline prototype,,NF
mes5k,https://github.com/mes5k/new_school_nf,mes5k/new_school_nf,,,NF
mes5k,https://github.com/mes5k/nf-test,mes5k/nf-test,simple test for nextflow,,NF
mhebrard,https://github.com/mhebrard/TrimFlow,mhebrard/TrimFlow,workflow example managed with Nextflow within Singularity that run Trimgalore on fastq files,MIT,NF
Molmed,https://github.com/Molmed/summary-report-development,Molmed/summary-report-development,Prototype for a new type of summary report for flowcells  that is going to be real awesome!,,NF
monikaBrandt,https://github.com/monikaBrandt/nf-core-mynewpipeline,monikaBrandt/nf-core-mynewpipeline,This is a test pipeline that I can use to learn how to build a real one.,MIT,NF
montilab,https://github.com/montilab/pipeliner,montilab/pipeliner,A flexible Nextflow-based framework for the definition of sequencing data processing pipelines,,NF
mruehlemann,https://github.com/mruehlemann/LaMeta,mruehlemann/LaMeta,LaMeta - getting more from your metagenomic data (like you used to...),BSD-3-Clause,NF
mtstahl,https://github.com/mtstahl/togetherforever,mtstahl/togetherforever,You like it or not  but transcriptome and proteome are stronger together!,,NF
Mud-Fire,https://github.com/Mud-Fire/QC_Model_rna_nf,Mud-Fire/QC_Model_rna_nf,DG QC model Up,Apache-2.0,NF
murphycj,https://github.com/murphycj/manuscripts,murphycj/manuscripts,Code and data for manuscripts.,,NF
mypandos,https://github.com/mypandos/gwen,mypandos/gwen,Gwen project,MIT,NF
ncsa,https://github.com/ncsa/GenomicsCortextVarNextflow,ncsa/GenomicsCortextVarNextflow,,,NF
nextflow-io,https://github.com/nextflow-io/blast-example,nextflow-io/blast-example,A basic blast pipeline using nextflow,,NF
nextflow-io,https://github.com/nextflow-io/gccbosc18-training,nextflow-io/gccbosc18-training,Documentation for Nextflow training at GCC/BOSC 2018,MIT,NF
nextflow-io,https://github.com/nextflow-io/hello,nextflow-io/hello,Classic hello world script in Nextflow language,GPL-3.0,NF
nextflow-io,https://github.com/nextflow-io/nf-hack17-tutorial,nextflow-io/nf-hack17-tutorial,Nextflow basic tutorial for newbie users ,,NF
nextflow-io,https://github.com/nextflow-io/nf-hack18,nextflow-io/nf-hack18,Nextflow workshop 2018 -- Training pages -> https://nextflow-io.github.io/nf-hack18/,,NF
nextflow-io,https://github.com/nextflow-io/patterns,nextflow-io/patterns,A curated collections of Nextflow implementation patterns -- http://nextflow-io.github.io/patterns/index.html,MIT,NF
nextflow-io,https://github.com/nextflow-io/rnaseq-nf,nextflow-io/rnaseq-nf,A proof of concept of RNAseq pipeline,MPL-2.0,NF
nextflow-io,https://github.com/nextflow-io/rnatoy,nextflow-io/rnatoy,A proof of concept RNA-Seq pipeline with Nextflow,,NF
nextflow-io,https://github.com/nextflow-io/tests,nextflow-io/tests,Nextflow tests,Apache-2.0,NF
nf-core,https://github.com/nf-core/ampliseq,nf-core/ampliseq,16S rRNA amplicon sequencing analysis workflow using QIIME2,MIT,NF
nf-core,https://github.com/nf-core/atacseq,nf-core/atacseq,UNDER CONSTRUCTION: ATAC-seq peak-calling and differential analysis pipeline.,MIT,NF
nf-core,https://github.com/nf-core/bacass,nf-core/bacass,Simple bacterial assembly and annotation pipeline,MIT,NF
nf-core,https://github.com/nf-core/bcellmagic,nf-core/bcellmagic,"B/T cell repertoire analysis pipeline with immcantation framework. WIP, currently requires a bunch of changes first.",MIT,NF
nf-core,https://github.com/nf-core/chipseq,nf-core/chipseq,Chromatin immunoprecipitation (ChIP-seq) analysis using BWA and MACS2 with QC steps.,MIT,NF
nf-core,https://github.com/nf-core/ddamsproteomics,nf-core/ddamsproteomics,Quant proteomics as practiced at Lehti\u00f6 lab for NF-core,MIT,NF
nf-core,https://github.com/nf-core/deepvariant,nf-core/deepvariant,Google's DeepVariant variant caller as a Nextflow pipeline,MIT,NF
nf-core,https://github.com/nf-core/eager,nf-core/eager,A fully reproducible and state of the art ancient DNA analysis pipeline.,MIT,NF
nf-core,https://github.com/nf-core/epitopeprediction,nf-core/epitopeprediction,A bioinformatics best-practice analysis pipeline for epitope prediction and annotation,MIT,NF
nf-core,https://github.com/nf-core/exoseq,nf-core/exoseq,Exome Sequencing analysis pipeline (Work in progress),MIT,NF
nf-core,https://github.com/nf-core/hlatyping,nf-core/hlatyping,Precision HLA typing from next-generation sequencing data,MIT,NF
nf-core,https://github.com/nf-core/lncpipe,nf-core/lncpipe,UNDER DEVELOPMENT--- A Nextflow-based pipeline for comprehensive analyses of long non-coding RNAs from RNA-seq datasets,MIT,NF
nf-core,https://github.com/nf-core/mag,nf-core/mag,Assembly and binning of metagenomes,MIT,NF
nf-core,https://github.com/nf-core/methylseq,nf-core/methylseq,Methylation (Bisulfite-Sequencing) analysis pipeline using Bismark or bwa-meth + MethylDackel,MIT,NF
nf-core,https://github.com/nf-core/mhcquant,nf-core/mhcquant,Identify and quantify peptides from mass spectrometry raw data,MIT,NF
nf-core,https://github.com/nf-core/nascent,nf-core/nascent,UNDER CONSTRUCTION - Nascent Transcription Processing Pipeline,MIT,NF
nf-core,https://github.com/nf-core/neutronstar,nf-core/neutronstar,De novo assembly pipeline for 10X linked-reads using Supernova,MIT,NF
nf-core,https://github.com/nf-core/rnafusion,nf-core/rnafusion,RNA-seq analysis pipeline for detection gene-fusions,MIT,NF
nf-core,https://github.com/nf-core/rnaseq,nf-core/rnaseq,"RNA sequencing analysis pipeline using STAR or HISAT2, with gene counts and quality control",MIT,NF
nf-core,https://github.com/nf-core/smrnaseq,nf-core/smrnaseq,Analysis pipeline for small-RNA sequencing data.,MIT,NF
nf-core,https://github.com/nf-core/vipr,nf-core/vipr,Assembly and intrahost / low-frequency variant calling for viral samples,MIT,NF
noelnamai,https://github.com/noelnamai/thesis,noelnamai/thesis,A Large Scale  Cloud Based  Low Cost and Reproducible Mutation Calling Pipeline Using Docker Containers,,NF
NorwegianVeterinaryInstitute,https://github.com/NorwegianVeterinaryInstitute/Bifrost,NorwegianVeterinaryInstitute/Bifrost,,NOASSERTION,NF
NYU-Molecular-Pathology,https://github.com/NYU-Molecular-Pathology/lyz-nf,NYU-Molecular-Pathology/lyz-nf,lab monitoring program,GPL-3.0,NF
NYU-Molecular-Pathology,https://github.com/NYU-Molecular-Pathology/NGS580-nf,NYU-Molecular-Pathology/NGS580-nf,Target exome analysis for 580 gene panel,GPL-3.0,NF
ObenaufLab,https://github.com/ObenaufLab/battenberg-nf,ObenaufLab/battenberg-nf,Nextflow workflow for Battenberg to detect subclonality and copy number in matched NGS data,MIT,NF
ObenaufLab,https://github.com/ObenaufLab/snv-calling-nf,ObenaufLab/snv-calling-nf,Nextflow workflow for SNV calling using GATK4 / MuTect2  CaVEMan / Pindel and Strelka2,MIT,NF
ObenaufLab,https://github.com/ObenaufLab/sv-calling-nf,ObenaufLab/sv-calling-nf,Nextflow workflow for SV calling using delly2  lumpy  manta and BRASS. ,MIT,NF
ObenaufLab,https://github.com/ObenaufLab/variant-circos-nf,ObenaufLab/variant-circos-nf,Nextflow workflow for circos visualizations of variant data.,AGPL-3.0,NF
ObenaufLab,https://github.com/ObenaufLab/virus-detection-nf,ObenaufLab/virus-detection-nf,Nextflow workflow for virus detection  integration site mapping and splice-variant detection.,MIT,NF
OberstHorst,https://github.com/OberstHorst/nextflowKubeDemo,OberstHorst/nextflowKubeDemo,,,NF
ODiogoSilva,https://github.com/ODiogoSilva/cbbs-nf,ODiogoSilva/cbbs-nf,,,NF
OncoImmunity,https://github.com/OncoImmunity/nextflow-bug-pull-submodules,OncoImmunity/nextflow-bug-pull-submodules,,,NF
oskarvid,https://github.com/oskarvid/nextflow-GermlineVarCall,oskarvid/nextflow-GermlineVarCall,Location for a NextFlow implementation of a GATK best practices pipeline,,NF
ParisDiderot-Bioinfo,https://github.com/ParisDiderot-Bioinfo/nextflow-intro,ParisDiderot-Bioinfo/nextflow-intro,Introduction to Nextflow,,NF
PayamEmami,https://github.com/PayamEmami/tm2,PayamEmami/tm2,,,NF
PayamEmami,https://github.com/PayamEmami/tmp,PayamEmami/tmp,,,NF
pbelmann,https://github.com/pbelmann/sra-download,pbelmann/sra-download,,MIT,NF
pgoymann,https://github.com/pgoymann/nextflow_fastqc,pgoymann/nextflow_fastqc,,,NF
phelelani,https://github.com/phelelani/nf-rnaSeqCount,phelelani/nf-rnaSeqCount,Assembly and differential expression analysis,,NF
phelelani,https://github.com/phelelani/nf-rnaSeqMetagen,phelelani/nf-rnaSeqMetagen,Metagenomics pipeline,,NF
PierreCaillaudM,https://github.com/PierreCaillaudM/distanciel_methodeB,PierreCaillaudM/distanciel_methodeB,,,NF
PiscatorX,https://github.com/PiscatorX/videre-pipeline,PiscatorX/videre-pipeline,Pipeline for metranscriptome data,,NF
PlantandFoodResearch,https://github.com/PlantandFoodResearch/PFRAutomatedWorkflows,PlantandFoodResearch/PFRAutomatedWorkflows,Collaborative Prototyping and deployment of informatics workflows,GPL-3.0,NF
plantinformatics,https://github.com/plantinformatics/pretzel-input-generator,plantinformatics/pretzel-input-generator,,GPL-3.0,NF
Polluux,https://github.com/Polluux/AtelierB_Domotique,Polluux/AtelierB_Domotique,M2 Project for Atelier B,,NF
pprieto,https://github.com/pprieto/toy,pprieto/toy,,,NF
qbicsoftware,https://github.com/qbicsoftware/hlatyping-workflow,qbicsoftware/hlatyping-workflow,Precision HLA typing from next-generation sequencing data,MIT,NF
qbicsoftware,https://github.com/qbicsoftware/microarray-qc-workflow,qbicsoftware/microarray-qc-workflow,Quality Control plots and data normalisation for Microarray data,MIT,NF
QuentinLetourneur,https://github.com/QuentinLetourneur/Let-it-bin,QuentinLetourneur/Let-it-bin,Optimize workflow for binning metagenomic short reads from multiple samples,,NF
rbpisupati,https://github.com/rbpisupati/nf-haplocaller,rbpisupati/nf-haplocaller,Nextflow pipeline for GATK best practices (HaplotypeCaller),MIT,NF
Reda94,https://github.com/Reda94/GDC-RNAseq-pipeline,Reda94/GDC-RNAseq-pipeline,Implementation of GDC's (Genomic Data Commons) RNA-seq analysis pipeline (data release version 14.0) using Nextflow.,,NF
Reda94,https://github.com/Reda94/QuantSeq-3-prime-FWD-RNAseq-pipeline,Reda94/QuantSeq-3-prime-FWD-RNAseq-pipeline,Implementation of the RNA-Seq analysis pipeline used on sequencing data obtained from Lexogen's QuantSeq FWD 3' mRNA-Seq kit.,,NF
remiolsen,https://github.com/remiolsen/nf-core-radseq,remiolsen/nf-core-radseq,Pipeline for QC of RAD-seq data,MIT,NF
renatomsoares,https://github.com/renatomsoares/ProjetosMetodosFormais,renatomsoares/ProjetosMetodosFormais,,,NF
renyiwu,https://github.com/renyiwu/hpc,renyiwu/hpc,,,NF
rlebron-bioinfo,https://github.com/rlebron-bioinfo/methflow,rlebron-bioinfo/methflow,DNA Methylation (BS-Seq) Analysis Pipeline. Started December 2018.,GPL-3.0,NF
robsyme,https://github.com/robsyme/nf-nucmercoverage,robsyme/nf-nucmercoverage,A humble nextflow pipeline to compare the coverage of some reference genome(s) by nucmer matches of some other genomes. Produces svg (gg)plots.,,NF
rpetit3,https://github.com/rpetit3/illumina-cleanup,rpetit3/illumina-cleanup,A simple pipeline for pre-processing Illumina FASTQ files. ,MIT,NF
rsuchecki,https://github.com/rsuchecki/asm,rsuchecki/asm,,GPL-3.0,NF
rsuchecki,https://github.com/rsuchecki/radsddrad,rsuchecki/radsddrad,,Apache-2.0,NF
rynge,https://github.com/rynge/searchsra-nextflow,rynge/searchsra-nextflow,,,NF
sbilge,https://github.com/sbilge/nf-core-clinvap,sbilge/nf-core-clinvap,,MIT,NF
SciLifeLab,https://github.com/SciLifeLab/Sarek,SciLifeLab/Sarek,Detect germline or somatic variants from normal or tumour/normal whole-genome or targeted sequencing,MIT,NF
sergpolly,https://github.com/sergpolly/random-nextflow-utils,sergpolly/random-nextflow-utils,just trying to apply nextflow to some low-level data-management,MIT,NF
shaze,https://github.com/shaze/nextflow-course,shaze/nextflow-course,,LGPL-2.1,NF
simozhou,https://github.com/simozhou/epi-awesome,simozhou/epi-awesome,,MIT,NF
sinonkt,https://github.com/sinonkt/gemini-load-nf,sinonkt/gemini-load-nf,Gemini preprocessing & loading workflow encoded in Nextflow ,,NF
sinonkt,https://github.com/sinonkt/gwas-qc-nf,sinonkt/gwas-qc-nf,Quality control procedures for genome-wide association studies paper  another encoded version in nextflow.,,NF
sinonkt,https://github.com/sinonkt/test-nf,sinonkt/test-nf,Workflow  simulate workload  for testing purpose.,,NF
SLU-AMB,https://github.com/SLU-AMB/read-preprocessing,SLU-AMB/read-preprocessing,Nextflow script to pre-process Illumina reads for downstream analysis,MIT,NF
SLUBioinformaticsInfrastructure,https://github.com/SLUBioinformaticsInfrastructure/RNAseq_nf,SLUBioinformaticsInfrastructure/RNAseq_nf,,GPL-3.0,NF
SoutheyLab,https://github.com/SoutheyLab/nextflow_pipeline,SoutheyLab/nextflow_pipeline,,,NF
SoutheyLab,https://github.com/SoutheyLab/nextflow-workflows,SoutheyLab/nextflow-workflows,,,NF
sridharsh,https://github.com/sridharsh/NextGenSeeker,sridharsh/NextGenSeeker,,,NF
staphopia,https://github.com/staphopia/staphopia-ap,staphopia/staphopia-ap,,,NF
statgen,https://github.com/statgen/pheweb-rg-pipeline,statgen/pheweb-rg-pipeline,Genetic correlation calculation pipeline via summary statistics for PheWeb,,NF
stevekm,https://github.com/stevekm/bwa-bench,stevekm/bwa-bench,,,NF
stevekm,https://github.com/stevekm/fastq-checker,stevekm/fastq-checker,quick workflow to validate fastq file integrity,,NF
stevekm,https://github.com/stevekm/nextflow-demos,stevekm/nextflow-demos,Example Nextflow pipelines and programming techniques,GPL-3.0,NF
stevekm,https://github.com/stevekm/nextflow-pipeline-demo,stevekm/nextflow-pipeline-demo,,GPL-3.0,NF
stevekm,https://github.com/stevekm/nextflow-samplesheet-demo,stevekm/nextflow-samplesheet-demo,samplesheet parsing with Nextflow,,NF
stevekm,https://github.com/stevekm/tmb-signatures-analysis,stevekm/tmb-signatures-analysis,Tumor mutation burden & genomic signatures analysis workflow,,NF
stevekm,https://github.com/stevekm/vcf-filter-annotate,stevekm/vcf-filter-annotate,,,NF
SystemsGenetics,https://github.com/SystemsGenetics/GEMmaker,SystemsGenetics/GEMmaker,A workflow for construction of Gene Expression count Matrices (GEMs). Useful for Differential Gene Expression (DGE) analysis and Gene Co-Expression Network (GCN) construction,GPL-2.0,NF
SystemsGenetics,https://github.com/SystemsGenetics/gene-oracle-nf,SystemsGenetics/gene-oracle-nf,Nextflow pipeline for Gene Oracle,,NF
SystemsGenetics,https://github.com/SystemsGenetics/KINC-nf,SystemsGenetics/KINC-nf,Nextflow pipeline for KINC,,NF
thanhleviet,https://github.com/thanhleviet/nextflow-vipr3,thanhleviet/nextflow-vipr3,Assembly pipelines for viral NGS data  ported from snakemake version by Anreas Wilm,,NF
thanhleviet,https://github.com/thanhleviet/nf-albacore,thanhleviet/nf-albacore,Nextflow script for nanopore base calling with albacore,,NF
thanhleviet,https://github.com/thanhleviet/nf-pipelines,thanhleviet/nf-pipelines,A mix of nextflow scripts mainly used for bacteria. Under developing.,,NF
Thatguy027,https://github.com/Thatguy027/CePopulationGenetics-nf,Thatguy027/CePopulationGenetics-nf,Nextflow Pipeline for PopGen Analysis of C. elegans,,NF
tiagofilipe12,https://github.com/tiagofilipe12/pATLAS-db-creation,tiagofilipe12/pATLAS-db-creation,This repository is a test wrapper for the creation ,GPL-3.0,NF
Tintest,https://github.com/Tintest/Test_nextflow_OAR,Tintest/Test_nextflow_OAR,,,NF
UCL-BLIC,https://github.com/UCL-BLIC/merge_fastq,UCL-BLIC/merge_fastq,Nextflow pipeline to merge FastQ files from different lanes,MIT,NF
uct-cbio,https://github.com/uct-cbio/bacterial_variant_calling,uct-cbio/bacterial_variant_calling,A pipeline for variant calling on bacterial genomes created with Nextflow and singularity / docker,MIT,NF
varshini712,https://github.com/varshini712/cnv-nf,varshini712/cnv-nf,,GPL-3.0,NF
vibbits,https://github.com/vibbits/NextFlow_pipelines,vibbits/NextFlow_pipelines,Tricks and tips for designing a NextFlow pipeline,,NF
viktorlj,https://github.com/viktorlj/SarekCLLPostProcess,viktorlj/SarekCLLPostProcess,Process StrelkaBP results from Sarek,,NF
viktorlj,https://github.com/viktorlj/SarGet,viktorlj/SarGet,Test repository for NextFlow Haloplex analysis pipeline,,NF
vinujose,https://github.com/vinujose/nxfSingularity,vinujose/nxfSingularity,A sample workflow using Singularity containers and Nextflow.,,NF
vinujose,https://github.com/vinujose/nxfTest,vinujose/nxfTest,A sample workflow with two connected processes using Nextflow.,,NF
xg203,https://github.com/xg203/nextflow,xg203/nextflow,,,NF
xg203,https://github.com/xg203/NGS,xg203/NGS,,,NF
YounisLab,https://github.com/YounisLab/rnaseq-pipeline,YounisLab/rnaseq-pipeline,Nextflow pipeline that runs STAR  Cufflinks and splicing-analysis.,,NF
zamanianlab,https://github.com/zamanianlab/AsELV_smRNAseq-nf,zamanianlab/AsELV_smRNAseq-nf,Small RNA-seq analysis for Ascaris ELV project,MIT,NF
zamanianlab,https://github.com/zamanianlab/BmAe_smRNA-nf,zamanianlab/BmAe_smRNA-nf,,MIT,NF
zichner,https://github.com/zichner/nextflow-pull-test,zichner/nextflow-pull-test,,,NF
zsteve,https://github.com/zsteve/nf-ATAC,zsteve/nf-ATAC, ATAC-seq pipeline written in Nextflow,MIT,NF
ZuberLab,https://github.com/ZuberLab/crispr-mageck-nf,ZuberLab/crispr-mageck-nf,Analyze CRISPR and shRNA functional genetic screening data,MIT,NF
ZuberLab,https://github.com/ZuberLab/crispr-nf,ZuberLab/crispr-nf,Pre-processing of multiplexed CRISPR / shRNA Screens (deprecated),MIT,NF
ZuberLab,https://github.com/ZuberLab/crispr-process-nf,ZuberLab/crispr-process-nf,Process CRISPR and shRNA functional genetic screening data,MIT,NF
ZuberLab,https://github.com/ZuberLab/sra-nf,ZuberLab/sra-nf,Download Raw Reads from SRA Archive,MIT,NF
ZuberLab,https://github.com/ZuberLab/vbcf-nf,ZuberLab/vbcf-nf,Retrieve Files from VBCF Sequencing Facility,MIT,NF
4dn-dcic,https://github.com/4dn-dcic/pipelines-cwl,4dn-dcic/pipelines-cwl,Pipelines developed and used by 4DN-DCIC in Common Workflow Language,MIT,CWL
4teamwork,https://github.com/4teamwork/ftw.lawgiver,4teamwork/ftw.lawgiver,Generate Plone workflows by simply describing them in a human readable language.,,CWL
aaronmck,https://github.com/aaronmck/CWL,aaronmck/CWL,a place to aggregate common workflow language pipelines and tooling,Apache-2.0,CWL
